STRUCTURE,STRUCTURE_ID,freq,citizen,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,MT,2023,54257,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,MT,2024,61540,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,1998,307265,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,1999,298335,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2000,290005,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2001,290918,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2002,294364,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2003,298463,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2004,304852,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2005,309903,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2006,310371,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2007,309910,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2008,348841,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2009,328346,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2010,335918,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2011,347734,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2012,359378,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2013,367750,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2014,378799,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2015,396100,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2016,424294,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2017,460060,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2018,498753,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2019,536347,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2020,577774,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2021,584961,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2022,617262,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2023,720098,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,NL,2024,765744,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2001,20562,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2002,20771,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2003,20988,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2004,21244,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2005,22010,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2006,26204,,
dataflow,ESTAT:MIGR_POP1CTZ(1.0),A,FOR_STLS,TOTAL,NR,F,PL,2007,22711,,
